timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820379,node,fdatasync,5,350.80,522,310,522,522,1754,0,0,0.0000
1768820379,node,recvmsg,6,92.33,157,107,157,157,554,216156,0,0.0000
1768820379,node,sendto,5,103.60,219,83,219,219,518,79800,0,0.0000
1768820379,node,runqlen,64,0.00,0,0,0,0,0,133461,0,0.0000
1768820379,node,select,2,1000694.50,1001061,1001061,1001061,1001061,2001389,0,0,0.0000
1768820379,node,fsync,1,4543.00,4543,4543,4543,4543,4543,0,0,0.0000
1768820379,node,pselect6,1,1000120.00,1000120,1000120,1000120,1000120,1000120,0,0,0.0000
1768820379,node,write,1,105.00,105,105,105,105,105,8,0,0.0000
1768820379,node,sendmsg,2,62.50,66,66,66,66,125,646,0,0.0000
1768820380,node,sched_lat,11359,8.77,1921,6,15,37,99579,0,0,0.0000
1768820380,node,futex,314,32413.54,1000104,44,151338,751952,10177851,0,36,0.1146
1768820380,node,epoll_pwait,4042,2631.67,999240,0,5078,28084,10637192,0,0,0.0000
1768820380,node,softirq,3212,4.81,210,0,20,72,15448,15874,0,0.0000
1768820380,node,runqlen,63,0.00,0,0,0,0,0,132765,0,0.0000
1768820380,node,nanosleep,676,13220.85,1000094,90,10083,1000080,8937294,0,0,0.0000
1768820380,node,poll,12527,674.82,948873,0,1,40,8453443,0,0,0.0000
1768820380,node,epoll_wait,509,25099.69,1499910,3,100135,509186,12775743,0,0,0.0000
1768820380,node,connect,5,83.60,111,90,111,111,418,0,5,1.0000
1768820380,node,dstate_io,26,202.19,692,142,639,692,5257,0,0,0.0000
1768820380,node,read,12,432.00,1235,430,1235,1235,5184,30385,0,0.0000
1768820380,node,sendmsg,2,58.00,65,65,65,65,116,646,0,0.0000
1768820380,node,write,1,104.00,104,104,104,104,104,8,0,0.0000
1768820380,node,io_qdepth,31,0.00,0,0,0,0,0,396,0,0.0000
1768820380,node,block_io,27,172.26,330,146,318,330,4651,180224,0,0.0000
1768820380,node,fdatasync,7,602.00,1051,536,1051,1051,4214,0,0,0.0000
1768820380,node,select,3,876773.00,1001044,1000714,1001044,1001044,2630319,0,0,0.0000
1768820380,node,pselect6,1,1001036.00,1001036,1001036,1001036,1001036,1001036,0,0,0.0000
1768820380,node,sendto,2,69.50,79,79,79,79,139,40,0,0.0000
1768820380,node,recvmsg,8,51.88,56,51,56,56,415,47880,0,0.0000
